timestamp,tweet_text,username,all_hashtags,followers_count,PS,FG
21/11/2019 12:46," Tempe Apartments without resident parking #light rail, #buses and rides with #Uber or #Lyft   https://t.co/qcq4vEMS1p'", klinthicum',"['light', 'buses', 'Uber', 'Lyft']",99,,
21/11/2019 12:35," The Lessons We Learned from the Latest Batch of Unicorn IPOs Like #Uber, #Lyft and #Peloton - FORTUNE https://t.co/IjeqgZY0Ud #TechJunkieNews https://t.co/tH0DaRtImi'", techjunkiejh',"['Uber', 'Lyft', 'Peloton', 'TechJunkieNews']",28301,,
21/11/2019 12:08, Study says your #Uber or #Lyft has more bacteria than your toilet \xf0\x9f\x9a\xbd Lyft are #London bound all passengers will  require a toilet brush \xf0\x9f\x9a\xbe #BlackFriday #ThursdayMorning #MorrisonsBoycott https://t.co/ysoLeDP1n8 via @MailOnline', DDDaughters',"['Uber', 'Lyft', 'London', 'BlackFriday', 'ThursdayMorning', 'MorrisonsBoycott']",2945,,
21/11/2019 12:01, Hilton Honors members can now redeem points against journeys with rideshare firm Lyft.  https://t.co/iPgMPKw2U9  via @BTUK   #BusinessTravel  #Hilton  #HiltonHonors  #Lyft https://t.co/dfGyBeZ3Oz', GlobalTravelMgt',"['BusinessTravel', 'Hilton', 'HiltonHonors', 'Lyft']",942,,
21/11/2019 11:53," 3:53:9-Lyft $1,550 Bonus For New Drivers..!! Sign-On Bonus: Join Today! Apply Here and be your own boss #Lyft #ClassifiedsCAL https://t.co/pgDJLMrjux'", ClassifiedsCal',"['Lyft', 'ClassifiedsCAL']",356,,
21/11/2019 11:35," 6. ""#Uber and #Lyft aren\xe2\x80\x99t just devouring the market once controlled by medallioned cabs, they\xe2\x80\x99re drawing in customers who never would have taken a car to their destination in the first place.""'", loyndsview',"['Uber', 'Lyft']",1468,,
21/11/2019 11:26, THEY SHARE THESE PICS TOO. THEY HAVE A GROUP CHAT WHERE THEY PLAN THEIR SCAMS. LAST TIME A DRIVER TOLD ME HOW HE SEEN OME OF OME DRIVERS DUMP MUSHROOM SOUP IN HUS CAR AND SAID THE RIDER THREW UP. #lyft https://t.co/g9b6Nkh0o8', XsuhaXX',['lyft'],755,,
21/11/2019 11:23, @AskLyft Frustrated with another bad customer experience. #FAIL #LYFT Tried calling driver 9 times plus texting with 0 response. Not what I needed at 5:48am after a red eye flight in freezing weather. Had to get a cab instead. 3rd failed ride in only 6 or so attempts. Bad %', annabrice',"['FAIL', 'LYFT']",1322,,
21/11/2019 11:18," https://t.co/nZxnqdh0fl Where parents feel like chauffeurs, companies step in $LYFT #LYFT #Technology #Marinetransportation #Transportationandshipping'", MarketBeatNews',"['LYFT', 'Technology', 'Marinetransportation', 'Transportationandshipping']",1572,,
21/11/2019 11:18," Where parents feel like chauffeurs, companies step in $LYFT #LYFT #Technology #Marinetransportation #Transportationandshipping https://t.co/mWOapK42Io'", RatingsNetwork',"['LYFT', 'Technology', 'Marinetransportation', 'Transportationandshipping']",6482,,
21/11/2019 11:02, #ElectrifyAmerica and #Lyft collaborate on #EV #rideshare #charging https://t.co/0ABmWCg5Ep via GreenCarCongres', hybridelectro',"['ElectrifyAmerica', 'Lyft', 'EV', 'rideshare', 'charging']",493,,
21/11/2019 10:59, #ElectrifyAmerica and #Lyft collaborate on #EV #rideshare #charging https://t.co/NN7Os6A2p5', GreenCarCongres',"['ElectrifyAmerica', 'Lyft', 'EV', 'rideshare', 'charging']",6841,,
21/11/2019 9:08," Key Features To Launch Cab Booking Mobile #App Like \xf0\x9f\x9a\x96 #Uber, #Lyft https://t.co/tGGhG3fNmE #CabBooking #MobileApp #TaxiBookingApp'", thakursaurabh4',"['App', 'Uber', 'Lyft', 'CabBooking', 'MobileApp', 'TaxiBookingApp']",430,,
21/11/2019 8:34,"  @CityofPhoenixAZ your government apparently is run by greedy morons who don't care about Innovation and what the public really wants. You just lost a valuable alternative at your airport.   #VoteThemOut #phoenix #airport #lyft #uber #rideshare #drivingjobs #work #ridesharing https://t.co/zAwu0KxZH0""", RideRecruiter',"['VoteThemOut', 'phoenix', 'airport', 'lyft', 'uber', 'rideshare', 'drivingjobs', 'work', 'ridesharing']",18,,
21/11/2019 8:29," Passenger safety tip: avoid being alone while waiting outside for your ride to arrive. Instead, wait indoors until the app shows your Captain has arrived.  #RideZIRO #rideshare  #BayArea #California #SanFrancisco  #safety #passenger #Riders #Uber #Lyft https://t.co/wqpWla9A3Q'", rideziro',"['RideZIRO', 'rideshare', 'BayArea', 'California', 'SanFrancisco', 'safety', 'passenger', 'Riders', 'Uber', 'Lyft']",18,,
21/11/2019 8:28," 0:28:0-\xe2\x9c\x94 Lyft $1,550 Bonus For New Drivers..!! Sign-On Bonus: Join Today! Apply Here and be your own boss #Lyft https://t.co/pgDJLMrjux'", ClassifiedsCal',['Lyft'],356,,
21/11/2019 7:22, #MyNinjaPower is getting the best #lyft drivers.', MetalMom206',"['MyNinjaPower', 'lyft']",817,,
21/11/2019 7:15," Key Features To Launch Cab Booking Mobile App Like #Uber, #Lyft   Click here \xf0\x9f\x91\x89 https://t.co/Tq0XjzhjkG  #TaxiBookingAppSolution #MobileApps'", TusharSingh72',"['Uber', 'Lyft', 'TaxiBookingAppSolution', 'MobileApps']",497,,
21/11/2019 7:13,"  Dear @AskLyft @lyft - you've got BIG problems. #lyft Lyft Driver Attacks Female Passenger, Gets Beat Up By Other Drivers https://t.co/LgWd5sVfWp""", loiscreamer',['lyft'],11766,,
21/11/2019 7:05," In a statement to tmz_tv, a woman named #AlessandraStarrWard explained being attacked by her #lyft driver (in a pool) for playing her music too loud in her headphones \xf0\x9f\x8e\xa7. \xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94 Drivers passing\xe2\x80\xa6 https://t.co/gvwcfJegY4'", Thegreentealive',"['AlessandraStarrWard', 'lyft']",30,,
21/11/2019 6:50,"  You know who's really on board for the #transitstrike? #Uber and #Lyft are watching this whole schmozzle with absolute glee.""", doe_will',"['transitstrike', 'Uber', 'Lyft']",132,,
21/11/2019 6:43," 22:42:56-\xf0\x9f\x93\xa3 Lyft $1,550 Bonus For New Drivers..!! Sign-On Bonus: Join Today! Apply Here and be your own boss #Lyft https://t.co/pgDJLMrjux'", ClassifiedsCal',['Lyft'],356,,
21/11/2019 6:30, Coming Soon! . . #iBuumerang #VibeRide #VibeRides #Uber #Lyft #residualincome #network #travelwithkeo https://t.co/qIIsY9wAof', TravelWithKeO',"['iBuumerang', 'VibeRide', 'VibeRides', 'Uber', 'Lyft', 'residualincome', 'network', 'travelwithkeo']",3443,,
21/11/2019 6:23, My #lyft driver hasn\xe2\x80\x99t set their clock back yet. #timetraveler? Or from #arizona? #daylightsavingtime', roboticwilly',"['lyft', 'timetraveler', 'arizona', 'daylightsavingtime']",2374,,
21/11/2019 5:56, ATTN: Uber / Lyft Drivers make extra money doing this   Visit Now: https://t.co/p2weGtIhfq   #SEO #Backlinks #Attn #Uber #Lyft #Drivers #Make #Extra #Money', qwikad_buy_sell',"['SEO', 'Backlinks', 'Attn', 'Uber', 'Lyft', 'Drivers', 'Make', 'Extra', 'Money']",16720,,
21/11/2019 5:52, What if you could control your own dream? https://t.co/2t7LDO3Tyo #techreview #tech #techreview #technology #iphone #uber #lyft #airtaxi #taxi #smartphone #app #smarthome #samsung #amazon #ibandplus #luciddream #dream #controlyourdream #sleep #health #smarthealth https://t.co/kdqSiR6xtz', tech_six6',"['techreview', 'tech', 'techreview', 'technology', 'iphone', 'uber', 'lyft', 'airtaxi', 'taxi', 'smartphone', 'app', 'smarthome', 'samsung', 'amazon', 'ibandplus', 'luciddream', 'dream', 'controlyourdream', 'sleep', 'health', 'smarthealth']",13,,
21/11/2019 4:58,"  Vancouver is the place to be if you enjoy transit cartels that hold their customers hostage as the government bottlenecks movement of people through their carefully protected monopolies.  TLDR; We're not allowed to use an app for that.  #Uber #Lyft #Vancouver #TransitCartel""", DepNox',"['Uber', 'Lyft', 'Vancouver', 'TransitCartel']",298,,
21/11/2019 4:56," Soooooooooo I gave someone a ride with #Lyft and it was a ""fixed ride."" What does that mean?  @AskLyft'", GingiesMom',['Lyft'],1521,,
21/11/2019 4:18," 20:17:50-Lyft $1,550 Bonus For New Drivers..!! Sign-On Bonus: Join Today! Apply Here and be your own boss #Lyft #ClassifiedsCAL https://t.co/pgDJLMrjux'", ClassifiedsCal',"['Lyft', 'ClassifiedsCAL']",356,,
21/11/2019 4:04, How yet another gig company is changing rates and hurting workers https://t.co/VctU4TwQnc #Uber #Lyft #Rev', infoshop_news',"['Uber', 'Lyft', 'Rev']",240,,
21/11/2019 4:00,"  It's November 20, 2019 at 10:00PM, time to head out! Don't drive drunk, catch a #lyft! It's free here: https://t.co/u6UyMGqTc8 #CHRIS41727 https://t.co/CSIaBiHbEu""", AustinMutts',"['lyft', 'CHRIS41727']",870,,
21/11/2019 3:50," The Lessons We Learned from the Latest Batch of Unicorn IPOs Like #Uber , #Lyft  and #Peloton - FORTUNE https://t.co/IjeqgZY0Ud #IPO #investing #techjunkieinvest https://t.co/hpn7Zg4CYl'", techjunkiejh',"['Uber', 'Lyft', 'Peloton', 'IPO', 'investing', 'techjunkieinvest']",28301,,
21/11/2019 3:48,"  \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\xa4\xacDamn. I need a BlacC &amp; Mild right now. No @lyft in the #area. No @Uber in the area. #Wtf!!! I'm stucC. #IHateitHere #BigFacts #Uber #Lyft #NSG #NoSleepGanG #GetWitItOrStayBroke #idc #NeverSober #AlwaysHigh #ABMInc #AllBoutMoneyInc #TheresNoSleepUntilTheGrave""", CNote864',"['area', 'Wtf', 'IHateitHere', 'BigFacts', 'Uber', 'Lyft', 'NSG', 'NoSleepGanG', 'GetWitItOrStayBroke', 'idc', 'NeverSober', 'AlwaysHigh', 'ABMInc', 'AllBoutMoneyInc', 'TheresNoSleepUntilTheGrave']",226,,
21/11/2019 3:39, Dear #Lyft  or #Uber passengers. This is my whip! Got it?', Sportyaspossibl',"['Lyft', 'Uber']",81,,
21/11/2019 3:30," Try tryprides , lower fares and no surge https://t.co/tYEFiYyYFR #tryprides #lyft #uber #rideshare #ad #paidpromotion #nyc #miami'", iamartikyoul8',"['tryprides', 'lyft', 'uber', 'rideshare', 'ad', 'paidpromotion', 'nyc', 'miami']",1234,,
21/11/2019 3:21, It\xe2\x80\x99s a #beautiful night. #staytuned #newyorkcity #manhattan #chelsea #wallstreet #lyft #soho #batteryparkcity #hamptonsstyle #unionsquare #murrayhill #brooklyn #longisland #areyoureadyforaride #newmusic https://t.co/WHkejtydBG', macandsoul',"['beautiful', 'staytuned', 'newyorkcity', 'manhattan', 'chelsea', 'wallstreet', 'lyft', 'soho', 'batteryparkcity', 'hamptonsstyle', 'unionsquare', 'murrayhill', 'brooklyn', 'longisland', 'areyoureadyforaride', 'newmusic']",15830,,
21/11/2019 3:18, I see you @LorenaAD80! Thanks for coming tonight and for everything you do for workers! @GigWorkersRise @JobsForJustice #EatTheRich #Uber #Lyft #Instacart https://t.co/JKkngisCPP', beckslife81',"['EatTheRich', 'Uber', 'Lyft', 'Instacart']",83,,
21/11/2019 3:02," #rideshare #uber #lyft dont wait to use the recording capability through their app, just download a recording app for your smart phone'", KePal1000',"['rideshare', 'uber', 'lyft']",15,,
21/11/2019 2:53, So no more Lyft scooters in Dallas #lyft #dallas https://t.co/36mWIcueFS', BlessingGrant',"['lyft', 'dallas']",540,,
21/11/2019 2:45, I love everything about winter except that it\xe2\x80\x99s harder to convince stinky #lyft drivers to roll down the windows so I can breathe', esperstar',['lyft'],355,,
21/11/2019 2:26," #Lyft passenger: omg I\xe2\x80\x99m running late ugh Me: I guess you shouldn\xe2\x80\x99t have requested a shared ride then, right?  @lyft Passenger: https://t.co/VtN1BwgdP3'", CAGurlChris',['Lyft'],74,,
21/11/2019 2:26, Successful @lyft networking happy hour! Thanks for joining last night! #kubecon2019 #Lyft #Engineer https://t.co/wmspstp8Lx', teeona_wilson',"['kubecon2019', 'Lyft', 'Engineer']",17,,
21/11/2019 2:10," If you have a cocktail then wine with dinner, you need to take #rideshare to and from. Do not get caught with a #DUI. I\xe2\x80\x99ve met no fewer than 12 passengers using RideShare due to DUI. Take #Lyft or #Uber before you have no other options! It is fun! I have candy and cold water.'", RideShareBee',"['rideshare', 'DUI', 'Lyft', 'Uber']",0,,
21/11/2019 1:58," He may be in the wrong, but so is the woman. He told her to turn her music off. He said he would kick her out. She basically double dared him that he couldn\xe2\x80\x99t do anything. Once out of his car, she tried to fight her way back in to his car. #CommonSense #lyft https://t.co/SbsTnQ1asI'", Sw33tDeee',"['CommonSense', 'lyft']",399,,
21/11/2019 1:51, A GETT OOPS \xf0\x9f\x98\xac SORRY !!!!! A #LYFT DRIVER BRUTALLY ATTACKS FEMALE PASSENGER Other Drivers Kick His Ass .... Coming to London soon \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8https://t.co/zSxO7hfASt', PaulDDDaughters',['LYFT'],2221,,
21/11/2019 1:47, Coming to a major city near you!  . . #uber #lyft #viberide #atl atlanta #miami #ftlauderdale https://t.co/Lj8kNseWoa', TravelWithKeO',"['uber', 'lyft', 'viberide', 'atl', 'miami', 'ftlauderdale']",3443,,
21/11/2019 1:35, Lyft self-driving cars may be here sooner than we thought? https://t.co/a2EPC5bRbm #Lyft #AutonomousVehicles  @youtube @tubebuddy', drivermanYT',"['Lyft', 'AutonomousVehicles']",427,,
21/11/2019 1:26, thank goodness my #lyft driver isn\xe2\x80\x99t chatty tonight', sophiahyliu',['lyft'],16,,
21/11/2019 0:53," 16:52:41-\xe2\x9c\x94 Lyft $1,550 Bonus For New Drivers..!! Sign-On Bonus: Join Today! Apply Here and be your own boss #Lyft https://t.co/pgDJLMIUT7'", ClassifiedsCal',['Lyft'],356,,
21/11/2019 0:37, @lyft @AskLyft @logangreen @johnzimmer No response as to why you allow a passenger to physically threaten a driver and then deactivate that driver? I guess Lyft doesn\xe2\x80\x99t nothing to protect its drivers and punishes them instead.  Dashcam footage coming soon!  #reactivate #Lyft', dsfournier72',"['reactivate', 'Lyft']",119,,
21/11/2019 0:30," Toronto! Lyft is launching!! Sign up using ""LaunchToronto"" for free rides!! https://t.co/3IkNyj8urX #lyft #Toronto #uber #promo'", CanadaDealsCo',"['lyft', 'Toronto', 'uber', 'promo']",290,,
21/11/2019 0:23, Have a great day everyone. Please enjoy the #newmusic #lyft #newyorkcity #sanfransisco #losangeles #timessquare #fashion #instagood https://t.co/cgDHO9oSek', macandsoul',"['newmusic', 'lyft', 'newyorkcity', 'sanfransisco', 'losangeles', 'timessquare', 'fashion', 'instagood']",15830,,
21/11/2019 0:21, Have a great day everyone. Please enjoy the #newmusic #lyft #newyorkcity #sanfransisco #losangeles #timessquare #fashion #instagood https://t.co/ToM1SMl6wK', macandsoul',"['newmusic', 'lyft', 'newyorkcity', 'sanfransisco', 'losangeles', 'timessquare', 'fashion', 'instagood']",15830,,
21/11/2019 0:20, Have a great day everyone. Please enjoy the #newmusic #lyft #newyorkcity #sanfransisco #losangeles #timessquare #fashion #instagood https://t.co/6UEddygimx', macandsoul',"['newmusic', 'lyft', 'newyorkcity', 'sanfransisco', 'losangeles', 'timessquare', 'fashion', 'instagood']",15830,,
21/11/2019 0:18, @steeletalk @UniforTheUnion @CKNW I\xe2\x80\x99m just super happy that we have #ridesharing like #Uber #Lyft to move people around #Vancouver   Such great foresight by the @bcndp and @clairetrevena @jjhorgan to get in front of something like this by joining the 21st century and looking after consumers instead of #taximafia', CascadiaDream',"['ridesharing', 'Uber', 'Lyft', 'Vancouver', 'taximafia']",193,,
21/11/2019 0:10, Clips from the last podcast. Download the full podcast here:  Apple Podcasts: https://t.co/YiexDuQ29d  Spotify: https://t.co/u2yXTm7O5s  Libsyn: https://t.co/1OfPkL84nf  #uber #lyft #uberdriver #lyftdriver #grandrapids #uberdrivertips #rideshare #grrideshare https://t.co/ScKawaO05z', grrideshare',"['uber', 'lyft', 'uberdriver', 'lyftdriver', 'grandrapids', 'uberdrivertips', 'rideshare', 'grrideshare']",390,,
21/11/2019 0:08, A New Rideshare is coming. #uber #Lyft https://t.co/h13jbiZamT', OneRoverApp',"['uber', 'Lyft']",133,,
20/11/2019 23:51, @lyft drew u a comic xoxo #Lyft #fraud #lyftdriver #vomitfraud #givememymoneyback EMAIL ME BACK U COWARDS https://t.co/I1GZ9rcuwj', Ellentracey',"['Lyft', 'fraud', 'lyftdriver', 'vomitfraud', 'givememymoneyback']",6,,
20/11/2019 23:35, How many daily destinations does @Uber or @Lyft offer in your city?  #Uber #Lyft #RideShare', InsidiousUber',"['Uber', 'Lyft', 'RideShare']",275,,
20/11/2019 23:30," Wake up on a #Casper, workout on a #Peloton, #Uber to your desk at #WeWork (now #WeCompany), order #DoorDash for lunch, #Lyft home, and #Postmates for dinner. In one day you interacted with 7 companies that will lose around $14 BILLION this year. #mindblown #techbubble?'", LukeSwaney',"['Casper', 'Peloton', 'Uber', 'WeWork', 'WeCompany', 'DoorDash', 'Lyft', 'Postmates', 'mindblown', 'techbubble']",36,,
20/11/2019 23:30, Taxis losing customers as demand for Uber and Lyft rides show steep increase in Toronto https://t.co/4LUBKxYmbO #Toronto #Uber #Lyft https://t.co/ACWAfOTXfj', blogTO',"['Toronto', 'Uber', 'Lyft']",657699,,
20/11/2019 23:29," I usually screenshot/share my location when I\xe2\x80\x99m in doubt lol But yes, relatable... I have places to be. So I\xe2\x80\x99m going to try to ignore that you look like you may murder me and eat me for dinner. \xf0\x9f\x98\x85 #Uber #Lyft https://t.co/W6eVQlcZBt'", MsBelleChelle',"['Uber', 'Lyft']",212,,
20/11/2019 23:26," @lyft @MinnesotaMatt23 Yay! Since bonuses are virtually non-existent on the platform and Lyft KEEPS MY TIPS, I get an extra $.10/minute on top of the $.69/mile I get paid to drive someone around town! Whoopee, I am one step closer to getting that new flea collar for Christmas!!! #Lyft #PayMe'", DodgerDogBarks',"['Lyft', 'PayMe']",5,,
20/11/2019 23:24," In other platform news, @Juno the ride-sharing service that was acquired by @Gett shuts down in New York. \xf0\x9f\x9a\x95 #winnertakeall #wtalive #juno #uber #lyft  @duras'", Applico',"['winnertakeall', 'wtalive', 'juno', 'uber', 'lyft']",2655,,
20/11/2019 23:08," 15:7:36-\xf0\x9f\x93\xa3 Lyft $1,550 Bonus For New Drivers..!! Sign-On Bonus: Join Today! Apply Here and be your own boss #Lyft https://t.co/pgDJLMrjux'", ClassifiedsCal',['Lyft'],356,,
20/11/2019 23:02, Starting on New Year\xe2\x80\x99s Day it will cost more to take ride-sharing services like #Uber or #Lyft to or from two of the region\xe2\x80\x99s major airports.  WATCH: @tomrousseyABC7 compares the costs for taxis vs. ride-sharing.  https://t.co/oh4XYcCVmp https://t.co/Kyr57jke88', ABC7News',"['Uber', 'Lyft']",157707,,
20/11/2019 22:45," #RuralTransport - ""The #NovaScotia government is hoping a modern #ridesharing program will help ease the struggle of people who have no suitable #transportation in #rural parts of the province"" https://t.co/lYeTICWuTp #rplccapr #ruralissues #ruralpolicy #Uber #Lyft #Mobility'", RplcCapr',"['RuralTransport', 'NovaScotia', 'ridesharing', 'transportation', 'rural', 'rplccapr', 'ruralissues', 'ruralpolicy', 'Uber', 'Lyft', 'Mobility']",811,,
20/11/2019 22:37," .@lyft .@AskLyft driver just called me a bitch, told me I had to walk 7 blocks to meet him in the rain, and when I got there refused my ride because it was too far. this was after I waited 28 minutes for a different ride not to show. thanks #lyft'", ashkarose',['lyft'],739,,
20/11/2019 22:37, If you want to take a #FREE ride or food with #Uber \xf0\x9f\x9a\x98 or #Lyft\xf0\x9f\x8e\x88  I HAVE #PROMO #CODES FOR YOU  #UberEATS\xf0\x9f\x8d\xbd: EATS-MIGUELT10  Lyft\xf0\x9f\x8e\x88: MIGUELT10', USACoolDeals',"['FREE', 'Uber', 'Lyft', 'PROMO', 'CODES', 'UberEATS']",1086,,
20/11/2019 22:32," @lyft Take a look at #Lyft desperately trying to silence me as their shitty, half-dead, soon-to-be penny stock plummets yet again. This company is cursed! \xf0\x9f\x98\x82 @logangreen @johnzimmer @BKRoberts https://t.co/f1lHK4Ltjc'", MrNoDaysOfff',['Lyft'],8537,,
20/11/2019 22:14," Lyft Driver Attacks Female Passenger, Gets Beat Up By Other Drivers https://t.co/ZWFpmOZ48i via @TMZ #Lyft #News #TMZ'", DUI_Arrests',"['Lyft', 'News', 'TMZ']",401,,
20/11/2019 21:40, Are you heading to the #NCAA \xf0\x9f\x8f\x80doubleheader tonight at the #G1C ? #SacState vs #UCDavis at 5:30pm followed by #StMarys vs #FresnoState  #HalfPrice #HoppyHour from 3-6pm &amp; 9-midnight Easy 5 minute walk to the #Golden1Center Great #Uber or #Lyft dropoff or pickup point too.  Cheers https://t.co/aJbrWG12uF', HoppysRailyard',"['NCAA', 'G1C', 'SacState', 'UCDavis', 'StMarys', 'FresnoState', 'HalfPrice', 'HoppyHour', 'Golden1Center', 'Uber', 'Lyft']",125,,
20/11/2019 21:40, Are you heading to the #NCAA \xf0\x9f\x8f\x80doubleheader tonight at the #G1C ? #SacState vs #UCDavis at 5:30pm followed by #StMarys vs #FresnoState  #HalfPrice #HoppyHour from 3-6pm &amp; 9-midnight Easy 5 minute walk to the #Golden1Center Great #Uber or #Lyft dropoff or pickup point too.  Cheers https://t.co/0JZn9aZZXs', HoppyBrewing',"['NCAA', 'G1C', 'SacState', 'UCDavis', 'StMarys', 'FresnoState', 'HalfPrice', 'HoppyHour', 'Golden1Center', 'Uber', 'Lyft']",23337,,
20/11/2019 21:37, I reported the first #Lyft story on TMZ with their treatment of customers and now they are popping up all over the place. https://t.co/IdudbhsbCo https://t.co/IdudbhsbCo', MrDennisByron',['Lyft'],12623,,
20/11/2019 21:30," Lyft Begins Pulling Their Electric Scooters from Major U.S. Cities  Lyft, Inc. joins others in the scooter mobility market retreat, pulling their service from six more U.S. cities. This trend is becoming awfully familiar. #LYFT  https://t.co/1pKZAv7yR ", investornetwork',['LYFT'],2549,,
20/11/2019 20:53, Make sure you have a way out on your own terms #sextrafficking #uber #Lyft #safety https://t.co/nTjKqT9OKh', tealynbeats',"['sextrafficking', 'uber', 'Lyft', 'safety']",17,,
20/11/2019 20:45," California truckers are challenging a law regarding gig economy drivers, such as those driving for Lyft or Uber. More here: #trucking #truckers #GigEconomy #Lyft #Uber #transportation #TransportationNews   https://t.co/KnbJuP3ipw via @sdcexec'", FreightPOP',"['trucking', 'truckers', 'GigEconomy', 'Lyft', 'Uber', 'transportation', 'TransportationNews']",272,,
20/11/2019 20:42," 12:42:10-Lyft $1,550 Bonus For New Drivers..!! Sign-On Bonus: Join Today! Apply Here and be your own boss #Lyft #ClassifiedsCAL https://t.co/pgDJLMrjux'", ClassifiedsCal',"['Lyft', 'ClassifiedsCAL']",356,,
20/11/2019 20:40, If you want to take a #FREE ride or food with #Uber \xf0\x9f\x9a\x98 or #Lyft\xf0\x9f\x8e\x88  I HAVE #PROMO #CODES FOR YOU  #UberEATS\xf0\x9f\x8d\xbd: EATS-MIGUELT10  Lyft\xf0\x9f\x8e\x88: MIGUELT', DealsHeaven4u',"['FREE', 'Uber', 'Lyft', 'PROMO', 'CODES', 'UberEATS']",1071,,
20/11/2019 20:27, To all my #Uber #Lyft #Drivers brothers and sisters ~ here are some side #gigs you can work from anywhere ~ the pay is what it shows... but it\xe2\x80\x99s another revenue stream if you\xe2\x80\x99re interested ~ peace y\xe2\x80\x99all \xe2\x9c\x8c\xf0\x9f\x8f\xbd https://t.co/zw6lXVvGbT', uberlyftdrivers',"['Uber', 'Lyft', 'Drivers', 'gigs']",1864,,
20/11/2019 20:15, Thanks for following! Enjoy up to $50 #FREE ride credit for your first ride with #Lyft #LyftPromoCode', AllNaturalPics',"['FREE', 'Lyft', 'LyftPromoCode']",173,,
20/11/2019 20:01, Do you use Uber or Lyft? #RideSharing #Uber #Lyft https://t.co/rrXXWUw7G , Speaking_Human',"['RideSharing', 'Uber', 'Lyft']",543,,
20/11/2019 19:53, No one:  My local Starbucks: it\xe2\x80\x99s very busy in here. Quick! Close both of the bathrooms and deep clean them for 45 minutes.   @Starbucks #tobeapartner #la #lyft #actor #ineedtopee', NathanTNewman',"['tobeapartner', 'la', 'lyft', 'actor', 'ineedtopee']",9,,
